x,y,angle
40.0,75.0,0.0
39.0,75.0,180.0
38.0,75.0,180.0
37.0,75.0,180.0
36.0,74.0,-135.0
35.0,73.0,-135.0
34.0,72.0,-135.0
33.0,71.0,-135.0
32.0,70.0,-135.0
31.0,70.0,180.0
30.0,70.0,180.0
29.0,70.0,180.0
29.0,69.0,-90.0
29.0,68.0,-90.0
29.0,67.0,-90.0
29.0,66.0,-90.0
29.0,65.0,-90.0
29.0,64.0,-90.0
29.0,63.0,-90.0
29.0,62.0,-90.0
29.0,61.0,-90.0
29.0,60.0,-90.0
29.0,59.0,-90.0
29.0,58.0,-90.0
29.0,57.0,-90.0
29.0,56.0,-90.0
29.0,55.0,-90.0
29.0,54.0,-90.0
29.0,53.0,-90.0
29.0,52.0,-90.0
29.0,51.0,-90.0
29.0,50.0,-90.0
29.0,49.0,-90.0
29.0,48.0,-90.0
29.0,47.0,-90.0
29.0,46.0,-90.0
29.0,45.0,-90.0
29.0,44.0,-90.0
29.0,43.0,-90.0
29.0,42.0,-90.0
29.0,41.0,-90.0
29.0,40.0,-90.0
29.0,39.0,-90.0
29.0,38.0,-90.0
29.0,37.0,-90.0
29.0,36.0,-90.0
29.0,35.0,-90.0
29.0,34.0,-90.0
29.0,33.0,-90.0
29.0,32.0,-90.0
29.0,31.0,-90.0
29.0,30.0,-90.0
29.0,29.0,-90.0
30.0,29.0,0.0
31.0,29.0,0.0
32.0,29.0,0.0
33.0,29.0,0.0
34.0,28.0,-45.0
35.0,27.0,-45.0
36.0,26.0,-45.0
37.0,26.0,0.0
38.0,26.0,0.0
39.0,25.0,-45.0
40.0,25.0,0.0
